FullLayerName,R,G,B,Linetype,Thick. (Pt),Thick. (mm),Pattern
Dessin,255,255,255,continuous,0.0,0.0,[Sans]
Dessin::block,255,255,255,continuous,0.0,0.0,Avec
Dessin::traitCoupe,0,0,0,continuous,0.15,0.053,[Sans]
Dessin::texte,0,0,0,continuous,0.1,0.035,[Sans]
Dessin::cote,0,0,0,continuous,0.15,0.053,[Sans]
Dessin::personnage,0,0,0,continuous,0.15,0.053,[Sans]
Dessin::layout,0,0,0,continuous,0.0,0.0,[Sans]
Hachures,0,0,0,continuous,0.0,0.0,[Sans]
Hachures::hachBeton,0,0,0,continuous,0.0,0.1,[Sans]
Hachures::hachBois,0,0,0,continuous,0.0,0.1,[Sans]
Hachures::hachMetal,0,0,0,continuous,0.0,0.1,[Sans]
Hachures::hachIsolant,0,0,0,continuous,0.0,0.1,[Sans]
1-GO,255,255,255,continuous,0.0,0.0,[Sans]
1-GO::structMetal,0,0,0,continuous,0.0,0.0,[Sans]
1-GO::structBois,0,0,0,continuous,0.0,0.0,[Sans]
1-GO::structBeton,0,0,0,continuous,0.0,0.0,[Sans]
1-GO::maconnerie,0,0,0,continuous,0.0,0.0,[Sans]
1-GO::fondations,0,0,0,continuous,0.0,0.0,[Sans]
2-CC,255,255,255,continuous,0.0,0.0,[Sans]
2-CC::isolation,0,0,0,continuous,0.0,0.0,[Sans]
2-CC::couverture,0,0,0,continuous,0.0,0.0,[Sans]
2-CC::menuiserieExt,0,0,0,continuous,0.0,0.0,[Sans]
2-CC::vitrageExt,0,0,0,continuous,0.0,0.0,[Sans]
2-CC::bardage,0,0,0,continuous,0.0,0.0,[Sans]
3-SO,255,255,255,continuous,0.0,0.0,[Sans]
3-SO::cloison,0,0,0,continuous,0.0,0.0,[Sans]
3-SO::menuiserieInt,0,0,0,continuous,0.0,0.0,[Sans]
3-SO::escalier,0,0,0,continuous,0.0,0.0,[Sans]
3-SO::sanitaires,0,0,0,continuous,0.0,0.0,[Sans]
3-SO::mobilier,0,0,0,continuous,0.0,0.0,[Sans]
4-TECH,255,255,255,continuous,0.0,0.0,[Sans]
4-TECH::ascenseur,0,0,0,continuous,0.0,0.0,[Sans]
5-EXT,255,255,255,continuous,0.0,0.0,[Sans]
5-EXT::arbres,0,0,0,continuous,0.0,0.0,[Sans]
Make2D,255,255,255,continuous,0.0,0.0,[Sans]
Make2D::visible,255,255,255,continuous,0.0,0.0,[Sans]
Make2D::visible::curves,255,255,255,continuous,0.0,0.0,[Sans]
Make2D::visible::curves::1-GO,255,255,255,continuous,0.0,0.0,[Sans]
Make2D::visible::curves::1-GO::structMetal,0,0,0,continuous,0.15,0.053,[Sans]
Make2D::visible::curves::1-GO::structBois,0,0,0,continuous,0.25,0.088,[Sans]
Make2D::visible::curves::1-GO::structBeton,0,0,0,continuous,0.25,0.088,[Sans]
Make2D::visible::curves::1-GO::maconnerie,0,0,0,continuous,0.25,0.088,[Sans]
Make2D::visible::curves::1-GO::fondations,0,0,0,continuous,0.25,0.088,[Sans]
Make2D::visible::curves::2-CC,255,255,255,continuous,0.0,0.0,[Sans]
Make2D::visible::curves::2-CC::isolation,0,0,0,continuous,0.15,0.053,[Sans]
Make2D::visible::curves::2-CC::couverture,0,0,0,continuous,0.15,0.053,[Sans]
Make2D::visible::curves::2-CC::menuiserieExt,0,0,0,continuous,0.15,0.053,[Sans]
Make2D::visible::curves::2-CC::vitrageExt,0,0,0,continuous,0.15,0.053,[Sans]
Make2D::visible::curves::2-CC::bardage,0,0,0,continuous,0.15,0.053,[Sans]
Make2D::visible::curves::3-SO,255,255,255,continuous,0.0,0.0,[Sans]
Make2D::visible::curves::3-SO::cloison,0,0,0,continuous,0.2,0.071,[Sans]
Make2D::visible::curves::3-SO::menuiserieInt,0,0,0,continuous,0.15,0.053,[Sans]
Make2D::visible::curves::3-SO::escalier,0,0,0,continuous,0.2,0.071,[Sans]
Make2D::visible::curves::3-SO::sanitaires,0,0,0,continuous,0.15,0.053,[Sans]
Make2D::visible::curves::3-SO::mobilier,0,0,0,continuous,0.25,0.088,[Sans]
Make2D::visible::curves::4-TECH,255,255,255,continuous,0.0,0.0,[Sans]
Make2D::visible::curves::4-TECH::ascenseur,0,0,0,continuous,0.25,0.088,[Sans]
Make2D::visible::curves::5-EXT,255,255,255,continuous,0.0,0.0,[Sans]
Make2D::visible::curves::5-EXT::arbres,0,0,0,continuous,0.15,0.053,[Sans]
Make2D::visible::clippingplaneintersections,255,255,255,continuous,0.0,0.0,[Sans]
Make2D::visible::clippingplaneintersections::1-GO,255,255,255,continuous,0.0,0.0,[Sans]
Make2D::visible::clippingplaneintersections::1-GO::structMetal,0,0,0,continuous,0.25,0.088,Black
Make2D::visible::clippingplaneintersections::1-GO::structBois,0,0,0,continuous,0.25,0.088,Black
Make2D::visible::clippingplaneintersections::1-GO::structBeton,0,0,0,continuous,0.25,0.088,Black
Make2D::visible::clippingplaneintersections::1-GO::maconnerie,0,0,0,continuous,0.25,0.088,Black
Make2D::visible::clippingplaneintersections::1-GO::fondations,0,0,0,continuous,0.25,0.088,Black
Make2D::visible::clippingplaneintersections::2-CC,255,255,255,continuous,0.0,0.0,[Sans]
Make2D::visible::clippingplaneintersections::2-CC::isolation,0,0,0,continuous,0.15,0.053,[Sans]
Make2D::visible::clippingplaneintersections::2-CC::couverture,0,0,0,continuous,0.25,0.088,[Sans]
Make2D::visible::clippingplaneintersections::2-CC::menuiserieExt,0,0,0,continuous,0.25,0.088,[Sans]
Make2D::visible::clippingplaneintersections::2-CC::vitrageExt,0,0,0,continuous,0.4,0.141,[Sans]
Make2D::visible::clippingplaneintersections::2-CC::bardage,0,0,0,continuous,0.25,0.088,[Sans]
Make2D::visible::clippingplaneintersections::3-SO,255,255,255,continuous,0.0,0.0,[Sans]
Make2D::visible::clippingplaneintersections::3-SO::cloison,0,0,0,continuous,0.25,0.088,[Sans]
Make2D::visible::clippingplaneintersections::3-SO::menuiserieInt,0,0,0,continuous,0.25,0.088,[Sans]
Make2D::visible::clippingplaneintersections::3-SO::escalier,0,0,0,continuous,0.3,0.106,[Sans]
Make2D::visible::clippingplaneintersections::3-SO::sanitaires,0,0,0,continuous,0.25,0.088,[Sans]
Make2D::visible::clippingplaneintersections::3-SO::mobilier,0,0,0,continuous,0.3,0.106,[Sans]
Make2D::visible::clippingplaneintersections::4-TECH,255,255,255,continuous,0.0,0.0,[Sans]
Make2D::visible::clippingplaneintersections::4-TECH::ascenseur,0,0,0,continuous,0.3,0.106,[Sans]
Make2D::visible::clippingplaneintersections::5-EXT,255,255,255,continuous,0.0,0.0,[Sans]
Make2D::visible::clippingplaneintersections::5-EXT::arbres,0,0,0,continuous,0.3,0.106,[Sans]
Make2D::hidden,255,255,255,dots,0.0,0.0,[Sans]
Make2D::hidden::curves,255,255,255,dots,0.0,0.0,[Sans]
Make2D::hidden::curves::1-GO,255,255,255,dots,0.0,0.0,[Sans]
Make2D::hidden::curves::1-GO::structMetal,0,0,0,dots,0.25,0.088,[Sans]
Make2D::hidden::curves::1-GO::structBois,0,0,0,dots,0.4,0.141,[Sans]
Make2D::hidden::curves::1-GO::structBeton,0,0,0,dots,0.4,0.141,[Sans]
Make2D::hidden::curves::1-GO::maconnerie,0,0,0,dots,0.4,0.141,[Sans]
Make2D::hidden::curves::1-GO::fondations,0,0,0,dots,0.4,0.141,[Sans]
Make2D::hidden::curves::2-CC,255,255,255,dots,0.0,0.0,[Sans]
Make2D::hidden::curves::2-CC::isolation,0,0,0,dots,0.2,0.071,[Sans]
Make2D::hidden::curves::2-CC::couverture,0,0,0,dots,0.3,0.106,[Sans]
Make2D::hidden::curves::2-CC::menuiserieExt,0,0,0,dots,0.3,0.106,[Sans]
Make2D::hidden::curves::2-CC::vitrageExt,0,0,0,dots,0.3,0.106,[Sans]
Make2D::hidden::curves::2-CC::bardage,0,0,0,dots,0.3,0.106,[Sans]
Make2D::hidden::curves::3-SO,255,255,255,dots,0.0,0.0,[Sans]
Make2D::hidden::curves::3-SO::cloison,0,0,0,dots,0.3,0.106,[Sans]
Make2D::hidden::curves::3-SO::menuiserieInt,0,0,0,dots,0.25,0.088,[Sans]
Make2D::hidden::curves::3-SO::escalier,0,0,0,dots,0.3,0.106,[Sans]
Make2D::hidden::curves::3-SO::sanitaires,0,0,0,dots,0.2,0.071,[Sans]
Make2D::hidden::curves::3-SO::mobilier,0,0,0,dots,0.25,0.088,[Sans]
Make2D::hidden::curves::4-TECH,255,255,255,dots,0.0,0.0,[Sans]
Make2D::hidden::curves::4-TECH::ascenseur,0,0,0,dots,0.3,0.106,[Sans]
Make2D::hidden::curves::5-EXT,255,255,255,dots,0.0,0.0,[Sans]
Make2D::hidden::curves::5-EXT::arbres,0,0,0,dots,0.2,0.071,[Sans]
Make2D::projected,255,255,255,dashed,0.0,0.0,[Sans]
Make2D::projected::curves,255,255,255,dashed,0.0,0.0,[Sans]
Make2D::projected::curves::1-GO,255,255,255,dashed,0.0,0.0,[Sans]
Make2D::projected::curves::structMetal,0,0,0,dashed,0.15,0.053,[Sans]
Make2D::projected::curves::structBois,0,0,0,dashed,0.25,0.088,[Sans]
Make2D::projected::curves::structBeton,0,0,0,dashed,0.25,0.088,[Sans]
Make2D::projected::curves::maconnerie,0,0,0,dashed,0.25,0.088,[Sans]
Make2D::projected::curves::fondations,0,0,0,dashed,0.25,0.088,[Sans]
Make2D::projected::curves::2-CC,255,255,255,dashed,0.0,0.0,[Sans]
Make2D::projected::curves::isolation,0,0,0,dashed,0.15,0.053,[Sans]
Make2D::projected::curves::couverture,0,0,0,dashed,0.15,0.053,[Sans]
Make2D::projected::curves::menuiserieExt,0,0,0,dashed,0.15,0.053,[Sans]
Make2D::projected::curves::vitrageExt,0,0,0,dashed,0.15,0.053,[Sans]
Make2D::projected::curves::bardage,0,0,0,dashed,0.15,0.053,[Sans]
Make2D::projected::curves::3-SO,255,255,255,dashed,0.0,0.0,[Sans]
Make2D::projected::curves::cloison,0,0,0,dashed,0.2,0.071,[Sans]
Make2D::projected::curves::menuiserieInt,0,0,0,dashed,0.15,0.053,[Sans]
Make2D::projected::curves::escalier,0,0,0,dashed,0.2,0.071,[Sans]
Make2D::projected::curves::sanitaires,0,0,0,dashed,0.15,0.053,[Sans]
Make2D::projected::curves::mobilier,0,0,0,dashed,0.25,0.088,[Sans]
Make2D::projected::curves::4-TECH,255,255,255,dashed,0.0,0.0,[Sans]
Make2D::projected::curves::ascenseur,0,0,0,dashed,0.25,0.088,[Sans]
Make2D::projected::curves::5-EXT,255,255,255,dashed,0.0,0.0,[Sans]
Make2D::projected::curves::5-EXT::arbres,0,0,0,dashed,0.15,0.053,[Sans]
